DateTime,Open,High,Low,Close,Volume,OpenInterest
2012-03-14,102.94,108.00,102.62,106.63,0,0
2012-03-15,106.84,109.98,106.56,108.42,0,0
2012-03-16,106.57,108.48,104.84,105.78,0,0
2012-03-19,106.83,108.84,104.59,106.49,0,0
2012-03-20,107.77,110.48,107.12,109.38,0,0
2012-03-21,106.43,111.93,104.65,104.65,0,0
2012-03-22,107.31,108.07,102.47,102.53,0,0
2012-03-23,102.25,103.73,98.12,98.60,0,0
2012-03-26,98.48,100.29,96.08,96.08,0,0
2012-03-27,96.22,101.22,96.13,101.15,0,0
2012-03-28,100.65,107.92,99.65,102.74,0,0
2012-03-29,105.54,107.28,101.82,101.94,0,0
2012-03-30,100.37,102.00,99.87,100.28,0,0
2012-04-02,102.92,103.00,99.35,100.38,0,0
2012-04-03,100.30,101.35,98.08,98.37,0,0
2012-04-04,101.05,102.38,99.04,99.73,0,0
2012-04-05,100.47,100.47,97.16,99.47,0,0
2012-04-09,104.77,105.40,102.70,104.59,0,0
2012-04-10,103.78,111.79,103.43,109.13,0,0
2012-04-11,109.10,111.60,108.18,111.19,0,0
2012-04-12,108.98,109.57,104.20,104.27,0,0
2012-04-13,105.15,110.83,105.06,110.76,0,0
2012-04-16,108.81,112.75,107.31,110.97,0,0
2012-04-17,107.86,108.09,106.19,107.01,0,0
2012-04-18,107.44,107.80,105.40,106.06,0,0
2012-04-19,104.40,107.35,102.63,103.96,0,0
2012-04-20,103.16,103.16,101.04,101.08,0,0
2012-04-23,106.48,107.43,103.63,104.01,0,0
2012-04-24,103.32,103.33,99.84,99.84,0,0
2012-04-25,98.18,98.18,93.19,93.28,0,0
2012-04-26,93.35,93.59,88.85,89.65,0,0
2012-04-27,88.33,90.24,87.88,88.62,0,0
2012-04-30,90.30,91.40,89.11,89.32,0,0
2012-05-01,88.97,88.97,85.75,87.06,0,0
2012-05-02,87.60,89.00,85.77,86.29,0,0
2012-05-03,86.13,88.74,85.10,88.35,0,0
2012-05-04,87.77,92.90,87.65,91.31,0,0
2012-05-07,94.48,94.51,89.99,90.91,0,0
2012-05-08,91.77,97.64,91.15,91.33,0,0
2012-05-09,100.17,105.52,98.87,102.07,0,0
2012-05-10,99.59,101.13,97.95,98.65,0,0
2012-05-11,99.95,100.57,97.40,100.12,0,0
2012-05-14,103.65,106.36,102.54,105.85,0,0
2012-05-15,103.94,110.65,102.27,109.61,0,0
2012-05-16,107.74,110.73,104.54,109.22,0,0
2012-05-17,108.82,113.30,107.73,112.84,0,0
2012-05-18,110.52,117.80,109.88,117.44,0,0
2012-05-21,115.67,115.67,107.46,108.50,0,0
2012-05-22,106.86,113.39,103.57,110.48,0,0
2012-05-23,112.16,115.95,106.53,107.48,0,0
2012-05-24,106.02,108.55,104.46,104.52,0,0
2012-05-25,105.13,105.36,101.80,103.10,0,0
2012-05-29,103.83,103.97,100.98,100.98,0,0
2012-05-30,103.51,109.75,103.39,109.73,0,0
2012-05-31,108.54,111.44,106.25,108.75,0,0
2012-06-01,112.13,112.13,109.34,111.41,0,0
2012-06-04,111.68,113.17,105.81,107.04,0,0
2012-06-05,106.30,106.30,102.74,102.78,0,0
2012-06-06,100.87,101.34,97.57,97.71,0,0
2012-06-07,95.77,99.59,95.01,98.36,0,0
2012-06-08,99.19,99.29,96.48,96.60,0,0
2012-06-11,97.33,105.88,97.33,105.51,0,0
2012-06-12,104.72,107.15,102.92,103.22,0,0
2012-06-13,107.67,111.58,106.11,110.60,0,0
2012-06-14,109.69,110.66,107.47,107.78,0,0
2012-06-15,107.35,109.26,107.13,108.23,0,0
2012-06-18,109.15,109.15,99.00,99.30,0,0
2012-06-19,97.57,98.65,96.66,98.13,0,0
2012-06-20,96.80,101.80,96.28,96.41,0,0
2012-06-21,97.00,105.94,96.16,105.47,0,0
2012-06-22,102.61,104.27,99.67,104.13,0,0
2012-06-25,106.09,107.07,104.02,104.46,0,0
2012-06-26,102.63,104.15,100.43,100.66,0,0
2012-06-27,99.37,99.89,97.73,98.11,0,0
2012-06-28,99.35,101.44,97.04,97.21,0,0
2012-06-29,92.93,93.43,89.00,89.59,0,0
2012-07-02,90.20,90.31,85.22,85.61,0,0
2012-07-03,85.88,86.04,84.56,84.59,0,0
2012-07-05,86.93,89.81,86.87,89.43,0,0
2012-07-06,90.89,92.42,90.00,90.10,0,0
2012-07-09,92.27,93.46,91.31,92.85,0,0
2012-07-10,92.34,95.79,91.65,94.91,0,0
2012-07-11,102.38,102.55,95.43,96.25,0,0
2012-07-12,97.71,99.86,93.58,95.22,0,0
2012-07-13,93.41,93.73,90.92,91.10,0,0
2012-07-16,91.82,95.76,91.45,94.21,0,0
2012-07-17,92.54,96.51,92.24,93.49,0,0
2012-07-18,92.92,94.58,90.76,94.03,0,0
2012-07-19,92.32,96.43,92.32,93.73,0,0
2012-07-20,94.78,102.89,94.13,100.61,0,0
2012-07-23,108.60,113.45,106.03,107.32,0,0
2012-07-24,106.56,112.50,106.43,111.65,0,0
2012-07-25,109.74,112.16,106.53,106.53,0,0
2012-07-26,101.86,102.32,98.49,98.59,0,0
2012-07-27,94.97,96.08,91.69,93.08,0,0
2012-07-30,94.80,94.90,92.94,94.74,0,0
2012-07-31,95.92,96.82,94.01,96.11,0,0
2012-08-01,95.21,95.96,93.08,94.23,0,0
2012-08-02,95.89,96.35,89.63,89.63,0,0
2012-08-03,87.17,87.45,84.08,84.50,0,0
2012-08-06,86.40,86.63,84.23,84.47,0,0
2012-08-07,83.82,87.46,83.82,86.87,0,0
2012-08-08,87.45,87.46,84.56,85.18,0,0
2012-08-09,85.49,86.24,83.88,83.91,0,0
2012-08-10,85.78,85.84,84.36,84.83,0,0
2012-08-13,87.05,89.84,86.41,89.58,0,0
2012-08-14,89.36,95.22,89.30,94.33,0,0
2012-08-15,99.09,99.16,96.66,97.95,0,0
2012-08-16,97.06,99.29,95.20,95.65,0,0
2012-08-17,94.79,95.79,93.51,95.02,0,0
2012-08-20,98.43,98.59,95.99,96.64,0,0
2012-08-21,95.05,99.39,94.70,97.41,0,0
2012-08-22,99.43,101.80,98.51,99.14,0,0
2012-08-23,99.76,100.10,97.98,98.40,0,0
2012-08-24,99.03,99.49,93.97,94.99,0,0
2012-08-27,95.75,96.67,93.54,94.89,0,0
2012-08-28,95.64,95.74,93.47,94.43,0,0
2012-08-29,94.29,94.99,93.11,94.71,0,0
2012-08-30,95.74,96.51,95.01,96.33,0,0
2012-08-31,94.76,96.00,92.70,93.30,0,0
2012-09-04,96.62,97.46,93.44,93.71,0,0
2012-09-05,93.66,93.83,89.56,90.15,0,0
2012-09-06,88.53,88.53,83.65,83.65,0,0
2012-09-07,82.05,82.64,80.68,82.24,0,0
2012-09-10,85.17,92.84,83.89,92.77,0,0
2012-09-11,92.44,93.66,89.50,92.39,0,0
2012-09-12,93.78,97.04,92.65,93.94,0,0
2012-09-13,93.13,95.07,86.78,87.81,0,0
2012-09-14,85.98,93.04,84.75,93.04,0,0
2012-09-17,94.87,94.87,90.91,92.95,0,0
2012-09-18,92.82,93.61,89.80,90.13,0,0
2012-09-19,88.53,90.02,88.11,88.61,0,0
2012-09-20,89.78,91.71,88.33,88.72,0,0
2012-09-21,88.17,88.77,84.61,87.90,0,0
2012-09-24,89.04,89.22,84.50,85.88,0,0
2012-09-25,84.41,93.42,84.14,92.79,0,0
2012-09-26,93.52,96.68,91.81,95.05,0,0
2012-09-27,92.15,93.59,87.04,88.24,0,0
2012-09-28,88.62,91.11,87.81,90.49,0,0
2012-10-01,90.52,92.61,88.15,92.51,0,0
2012-10-02,90.99,92.86,90.11,90.25,0,0
2012-10-03,90.73,91.56,86.88,87.56,0,0
2012-10-04,87.01,87.34,83.41,83.51,0,0
2012-10-05,82.91,84.45,81.06,83.10,0,0
2012-10-08,86.10,86.45,84.21,85.85,0,0
2012-10-09,85.28,89.56,84.62,88.53,0,0
2012-10-10,93.84,95.36,92.41,94.36,0,0
2012-10-11,91.09,92.78,90.11,90.74,0,0
2012-10-12,88.59,92.00,87.27,91.87,0,0
2012-10-15,90.76,95.72,90.33,92.92,0,0
2012-10-16,89.86,91.81,89.20,90.31,0,0
2012-10-17,90.41,92.11,84.95,85.60,0,0
2012-10-18,86.11,88.24,84.76,86.51,0,0
2012-10-19,86.81,94.25,86.28,92.63,0,0
2012-10-22,93.13,98.06,91.99,92.48,0,0
2012-10-23,98.43,102.67,96.77,99.66,0,0
2012-10-24,97.17,98.43,95.44,96.39,0,0
2012-10-25,93.26,94.80,91.66,91.86,0,0
2012-10-26,91.11,92.40,88.91,89.43,0,0
2012-10-31,87.57,90.58,87.57,90.23,0,0
2012-11-01,88.67,88.94,81.70,81.70,0,0
2012-11-02,80.67,87.84,80.09,87.84,0,0
2012-11-05,89.47,91.88,89.09,90.75,0,0
2012-11-06,89.07,89.65,86.59,87.56,0,0
2012-11-07,88.88,95.53,88.88,94.75,0,0
2012-11-08,93.26,94.39,91.49,93.39,0,0
2012-11-09,94.13,94.13,90.98,94.02,0,0
2012-11-12,94.67,94.67,90.13,90.54,0,0
2012-11-13,92.17,92.50,87.13,87.84,0,0
2012-11-14,87.63,96.14,87.29,94.66,0,0
2012-11-15,94.71,97.66,92.43,94.54,0,0
2012-11-16,93.83,97.04,90.01,90.27,0,0
2012-11-19,89.22,89.76,86.04,88.43,0,0
2012-11-20,87.01,89.70,85.58,85.93,0,0
2012-11-21,86.26,87.49,83.66,85.85,0,0
2012-11-23,84.35,85.40,81.68,82.86,0,0
2012-11-26,84.45,84.55,81.90,82.45,0,0
2012-11-27,81.48,84.94,81.06,84.17,0,0
2012-11-28,84.83,86.73,80.34,80.39,0,0
2012-11-29,79.94,80.98,78.36,78.42,0,0
2012-11-30,77.75,80.08,77.20,78.59,0,0
2012-12-03,77.48,84.31,77.40,84.07,0,0
2012-12-04,83.78,87.08,82.97,86.18,0,0
2012-12-05,84.94,87.55,82.84,82.98,0,0
2012-12-06,83.27,84.76,82.48,84.15,0,0
2012-12-07,82.58,83.86,79.80,80.73,0,0
2012-12-10,82.07,82.72,81.09,81.56,0,0
2012-12-11,79.27,79.78,78.20,78.70,0,0
2012-12-12,78.56,83.30,78.48,83.02,0,0
2012-12-13,81.99,87.42,81.30,86.74,0,0
2012-12-14,86.14,88.51,85.65,86.39,0,0
2012-12-17,88.16,88.22,81.95,82.10,0,0
2012-12-18,80.64,81.16,78.14,79.36,0,0
2012-12-19,79.73,83.92,79.66,83.33,0,0
2012-12-20,82.71,84.49,81.09,83.06,0,0
2012-12-21,90.95,91.49,87.70,87.70,0,0
2012-12-24,89.05,89.59,87.56,89.27,0,0
2012-12-26,89.10,92.38,88.80,92.17,0,0
2012-12-27,91.27,96.99,90.20,90.89,0,0
2012-12-28,93.21,104.72,91.78,104.72,0,0
2012-12-31,102.32,102.58,92.46,92.50,0,0
2013-01-02,85.69,86.21,78.23,78.77,0,0
2013-01-03,78.45,79.67,74.26,77.02,0,0
2013-01-04,76.30,77.06,73.43,75.18,0,0
2013-01-07,77.20,78.50,75.97,76.77,0,0
2013-01-08,76.56,79.31,76.56,78.37,0,0
2013-01-09,77.84,81.77,76.89,78.51,0,0
2013-01-10,76.54,79.68,76.05,77.48,0,0
2013-01-11,77.09,79.78,76.81,78.52,0,0
2013-01-14,80.13,80.48,77.27,78.28,0,0
2013-01-15,78.33,78.66,75.98,77.84,0,0
2013-01-16,76.06,78.38,75.48,77.26,0,0
2013-01-17,75.62,79.06,75.00,78.77,0,0
2013-01-18,77.01,78.86,73.02,73.43,0,0
2013-01-22,76.16,78.64,73.87,73.87,0,0
2013-01-23,74.19,74.20,70.73,71.86,0,0
2013-01-24,71.72,80.81,70.73,76.17,0,0
2013-01-25,76.23,79.12,75.78,76.92,0,0
2013-01-28,78.84,81.43,77.73,78.16,0,0
2013-01-29,79.09,79.19,73.59,73.61,0,0
2013-01-30,75.01,78.17,73.56,77.34,0,0
2013-01-31,77.62,78.59,75.29,76.72,0,0
2013-02-01,73.64,74.05,71.97,73.29,0,0
2013-02-04,76.76,78.83,75.00,77.79,0,0
2013-02-05,76.84,77.05,73.69,75.06,0,0
2013-02-06,80.44,82.68,77.09,77.23,0,0
2013-02-07,77.36,82.49,75.37,76.86,0,0
2013-02-08,76.06,76.55,74.03,74.42,0,0
2013-02-11,76.41,78.48,75.48,76.09,0,0
2013-02-12,75.84,76.55,73.45,73.83,0,0
2013-02-13,74.20,75.69,72.55,73.25,0,0
2013-02-14,73.94,74.70,71.62,72.98,0,0
2013-02-15,71.45,76.01,70.73,72.55,0,0
2013-02-19,74.59,74.70,69.70,70.45,0,0
2013-02-20,70.94,79.34,70.62,79.13,0,0
2013-02-21,79.98,84.47,79.14,80.83,0,0
2013-02-22,77.83,80.97,77.73,78.66,0,0
2013-02-25,77.53,96.40,75.89,94.34,0,0
2013-02-26,93.46,97.35,88.94,90.23,0,0
2013-02-27,89.09,89.68,80.31,82.29,0,0
2013-02-28,81.59,86.97,80.45,86.57,0,0
2013-03-01,88.92,92.08,86.17,87.83,0,0
2013-03-04,88.93,89.39,82.07,82.27,0,0
2013-03-05,80.65,81.51,78.90,79.31,0,0
2013-03-06,78.86,80.64,78.12,78.78,0,0
2013-03-07,78.19,79.06,76.66,77.16,0,0
2013-03-08,75.93,78.23,75.93,76.65,0,0
2013-03-11,78.34,78.62,76.34,77.31,0,0
2013-03-12,78.61,82.66,77.06,79.98,0,0
2013-03-13,82.80,85.62,82.26,84.36,0,0
2013-03-14,83.50,85.35,83.14,83.50,0,0
2013-03-15,84.29,87.35,84.03,85.72,0,0
2013-03-18,92.19,93.72,88.50,93.07,0,0
2013-03-19,90.69,98.24,90.17,94.39,0,0
2013-03-20,89.85,92.64,87.77,89.45,0,0
2013-03-21,91.04,94.20,89.09,93.98,0,0
2013-03-22,91.40,93.15,91.03,91.78,0,0
2013-03-25,90.33,93.07,87.13,88.86,0,0
2013-03-26,86.74,88.31,84.82,85.14,0,0
2013-03-27,87.04,87.88,84.45,85.32,0,0
2013-03-28,84.39,85.56,83.08,83.20,0,0
2013-04-01,85.76,86.02,83.81,84.23,0,0
2013-04-02,83.03,83.39,80.05,80.48,0,0
